id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Tide,Crestfall,metal,aggressive,0.97,168,0.31,0.72,0.04
12,Golden Harvest,Kaya Roots,reggae,uplifting,0.61,92,0.88,0.76,0.55
13,Dusty Back Roads,June Hollow,country,nostalgic,0.44,104,0.73,0.63,0.81
14,Cathedral Light,Elio Voss,classical,melancholic,0.22,68,0.38,0.28,0.97
15,Lagos After Dark,Solape,afrobeat,euphoric,0.85,112,0.91,0.93,0.14
16,Void Signal,Parallax,electronic,dark,0.78,140,0.27,0.81,0.06
17,Autumn Letters,Clara Fenn,folk,nostalgic,0.33,84,0.66,0.45,0.93
18,Pressure Drop,Strafe Unit,hip hop,aggressive,0.88,95,0.44,0.85,0.09
19,Frozen Lake,Mira Soleil,ambient,melancholic,0.19,55,0.29,0.32,0.95
20,Carnival Lights,Los Fuego,latin,euphoric,0.80,128,0.92,0.90,0.21
